2020/05/04 20:02:24,open
2020/05/04 20:02:24,dark
2020/05/04 20:02:25,bright
2020/05/04 21:13:38,open
2020/05/04 21:13:39,dark
2020/05/04 21:13:39,bright
2020/05/04 23:43:39,dark
2020/05/05 00:28:26,open
2020/05/05 00:28:26,bright
2020/05/05 00:33:23,bright
2020/05/05 00:33:28,bright
2020/05/05 00:34:01,bright
2020/05/05 00:34:06,dark
2020/05/05 00:34:19,bright
2020/05/05 00:34:26,dark
2020/05/05 00:34:41,bright
2020/05/05 00:34:44,dark
2020/05/05 00:34:56,dark
2020/05/05 00:35:12,dark
2020/05/05 00:35:19,bright
2020/05/05 00:35:20,dark
2020/05/05 00:35:27,bright
2020/05/05 00:36:16,dark
2020/05/05 00:36:23,bright
2020/05/05 00:36:27,dark
2020/05/05 00:36:38,bright
